cupsaccept	hardware-printing
cupsctl	hardware-printing
cupsd	hardware-printing
cupsdisable	hardware-printing
cupsenable	hardware-printing
cupsfilter	hardware-printing
cupsreject	hardware-printing
cupstestppd	hardware-printing
curl	curl
curl-config	curl
curve_keygen	libzmq
cut	os-core
cvc-create	smartcard
cvc-print	smartcard
cvlc	vlc
cvs-clean	desktop-kde-apps
cvsaddcurrentdir	desktop-kde-apps
cvsbackport	desktop-kde-apps
cvsblame	desktop-kde-apps
cvscheck	desktop-kde-apps
cvsforwardport	desktop-kde-apps
cvslastchange	desktop-kde-apps
cvslastlog	desktop-kde-apps
cvsrevertlast	desktop-kde-apps
cvsversion	desktop-kde-apps
cvt	devpkg-libxcvt
cvtsudoers	sudo
cweave	texlive
cwebp	transcoding-support
cx18-ctl	v4l-utils
cxpm	devpkg-libXpm
cxxmetric	desktop-kde-apps
cyclicdeadline	dev-utils
cyclictest	dev-utils
cygdb	pypi-cython
cython	pypi-cython
cythonize	pypi-cython
dapltest	hpc-utils
darktable	darktable
darktable-chart	darktable
darktable-cli	darktable
darktable-cltest	darktable
darktable-cmstest	darktable
darktable-generate-cache	darktable
darktable-rs-identify	darktable
dask	python-data-science
date	os-core
datefudge	perl-basic-dev
dateparse	perl-extras
dav1d	dav1d
daxctl	storage-utils
daxio	pmdk
dazzle-list-counters	devpkg-libdazzle
dbfadd	devpkg-shapelib
dbfcat	devpkg-shapelib
dbfcreate	devpkg-shapelib
dbfdump	devpkg-shapelib
dbfinfo	devpkg-shapelib
dbicadmin	perl-extras
dbilogstrip	perl-basic
dbiprof	perl-basic
dbiproxy	perl-basic
dbmmanage	application-server
dbus-binding-tool	devpkg-dbus-glib
dbus-broker	qt-basic-dev
dbus-broker-launch	qt-basic-dev
dbus-cleanup-sockets	sysadmin-basic
dbus-daemon	sysadmin-basic
dbus-launch	sysadmin-basic
dbus-launch.x11	desktop
dbus-monitor	sysadmin-basic
dbus-run-session	sysadmin-basic
dbus-send	sysadmin-basic
dbus-test-tool	sysadmin-basic
dbus-update-activation-environment	sysadmin-basic
dbus-uuidgen	sysadmin-basic
dbwrap_tool	samba
dbxtool	firmware-update
dc	bc
dcb	iproute2
dcbtool	performance-tools
dconf	nautilus
dconf-editor	desktop-apps
dcraw_emu	devpkg-LibRaw
dcraw_half	devpkg-LibRaw
dd	os-core
ddcmon	maker-basic
ddd	ddd
ddns-confgen	network-basic
de-macro	texlive
deadline_test	dev-utils
deallocvt	kbd
debugedit	package-utils
debugfs	os-cloudguest-equinix
